Codigo_venta,Product_id,Empleado_id,Quantity,Dia,Month,Year,Sales,Igv,Total,Moneda,Estado,Tipo_comp
198,P0060,13,1,7,September,2025,184.79,33.26,218.05,PEN,Procedió,Boleta
199,P0050,8,2,27,September,2024,101.44,18.26,119.7,PEN,Procedió,Factura
200,P0145,12,3,3,September,2024,61.17,11.01,72.18,PEN,Procedió,Factura
201,P0103,2,7,2,September,2025,204.82,36.87,241.69,PEN,Procedió,Boleta
202,P0070,6,9,30,September,2024,850.14,153.03,1003.17,PEN,Procedió,Boleta
203,P0039,4,1,29,September,2025,130.04,23.41,153.45,PEN,Procedió,Boleta
204,P0034,3,3,20,September,2025,446.22,80.32,526.54,PEN,Procedió,Factura
205,P0110,5,3,4,September,2024,565.2,101.74,666.94,PEN,Procedió,Nota de crédito
206,P0003,12,6,20,September,2024,1058.22,190.48,1248.7,PEN,Procedió,Boleta
207,P0016,15,1,5,September,2024,191.14,0.0,191.14,PEN,Anulado,Boleta
208,P0143,4,5,21,September,2025,488.6,0.0,488.6,PEN,Anulado,Factura
209,P0005,2,10,14,September,2024,1661.6,299.09,1960.69,PEN,Procedió,Nota de crédito
210,P0033,3,1,3,September,2025,93.1,16.76,109.86,PEN,Procedió,Factura
211,P0058,8,7,7,September,2024,1263.22,0.0,1263.22,PEN,Anulado,Factura
212,P0090,13,8,14,September,2024,1342.4,0.0,1342.4,PEN,Anulado,Nota de crédito
213,P0047,1,5,5,September,2025,608.6,109.55,718.15,PEN,Procedió,Nota de crédito
214,P0137,13,1,17,September,2024,24.61,4.43,29.04,PEN,Procedió,Boleta
215,P0036,13,10,15,September,2024,495.4,89.17,584.57,PEN,Procedió,Factura
216,P0113,1,1,5,September,2024,133.3,23.99,157.29,PEN,Procedió,Nota de crédito
217,P0061,3,1,21,September,2025,106.15,19.11,125.26,PEN,Procedió,Nota de crédito
218,P0054,1,2,18,September,2025,92.9,16.72,109.62,PEN,Procedió,Factura
219,P0079,2,4,24,September,2025,84.56,15.22,99.78,PEN,Procedió,Nota de crédito
220,P0140,9,3,22,September,2025,82.17,14.79,96.96,PEN,Procedió,Factura
221,P0070,4,3,17,September,2025,283.38,0.0,283.38,PEN,Anulado,Factura
222,P0107,11,9,8,September,2024,1551.6,279.29,1830.89,PEN,Procedió,Nota de crédito
223,P0009,7,4,2,September,2024,259.24,0.0,259.24,PEN,Anulado,Nota de crédito
224,P0057,14,8,24,September,2024,843.2,151.78,994.98,PEN,Procedió,Nota de crédito
225,P0009,8,5,4,September,2025,324.05,58.33,382.38,PEN,Procedió,Nota de crédito
226,P0001,3,4,6,October,2024,644.2,115.96,760.16,PEN,Procedió,Boleta
227,P0026,9,4,19,October,2024,338.48,60.93,399.41,PEN,Procedió,Factura
228,P0041,13,2,9,October,2025,179.7,32.35,212.05,PEN,Procedió,Nota de crédito
229,P0136,4,5,28,October,2025,768.8,138.38,907.18,PEN,Procedió,Factura
230,P0044,1,10,13,October,2024,1435.3,258.35,1693.65,PEN,Procedió,Factura
231,P0043,3,3,27,October,2025,24.72,4.45,29.17,PEN,Procedió,Nota de crédito
232,P0103,8,8,6,October,2025,234.08,42.13,276.21,PEN,Procedió,Nota de crédito
233,P0012,1,7,8,October,2024,883.68,159.06,1042.74,PEN,Procedió,Boleta
234,P0032,12,10,11,October,2025,1172.9,0.0,1172.9,PEN,Anulado,Nota de crédito
235,P0140,13,7,4,October,2025,191.73,34.51,226.24,PEN,Procedió,Boleta
236,P0008,1,7,2,October,2024,1326.08,238.69,1564.77,PEN,Procedió,Factura
237,P0082,7,8,13,October,2025,801.68,144.3,945.98,PEN,Procedió,Factura
238,P0057,3,3,20,October,2024,316.2,56.92,373.12,PEN,Procedió,Nota de crédito
239,P0106,14,9,25,October,2025,728.91,131.2,860.11,PEN,Procedió,Factura
240,P0103,4,10,27,October,2024,292.6,52.67,345.27,PEN,Procedió,Nota de crédito
241,P0012,3,1,24,October,2025,126.24,22.72,148.96,PEN,Procedió,Factura
242,P0110,4,1,14,October,2024,188.4,0.0,188.4,PEN,Anulado,Factura
243,P0047,11,10,3,October,2024,1217.2,219.1,1436.3,PEN,Procedió,Boleta
244,P0101,12,5,18,October,2025,879.8,158.36,1038.16,PEN,Procedió,Nota de crédito
245,P0115,10,7,31,December,2024,1091.86,0.0,1091.86,PEN,Anulado,Boleta
246,P0035,1,6,17,December,2024,823.32,148.2,971.52,PEN,Procedió,Factura
247,P0018,5,4,1,December,2025,514.72,0.0,514.72,PEN,Anulado,Factura
248,P0084,11,7,10,December,2025,1204.07,216.73,1420.8,PEN,Procedió,Boleta
249,P0012,2,10,14,December,2024,1262.4,227.23,1489.63,PEN,Procedió,Boleta
250,P0031,7,1,17,December,2025,74.27,13.37,87.64,PEN,Procedió,Boleta
251,P0067,8,1,21,December,2025,30.45,5.48,35.93,PEN,Procedió,Factura
252,P0051,11,9,21,December,2025,467.64,84.18,551.82,PEN,Procedió,Boleta
253,P0111,2,9,1,December,2025,253.26,45.59,298.85,PEN,Procedió,Nota de crédito
254,P0015,11,10,15,December,2024,82.8,14.9,97.7,PEN,Procedió,Boleta
255,P0120,5,2,31,December,2025,174.04,0.0,174.04,PEN,Anulado,Nota de crédito
256,P0074,3,1,10,December,2025,191.29,34.43,225.72,PEN,Procedió,Nota de crédito
257,P0118,1,2,5,December,2024,307.9,55.42,363.32,PEN,Procedió,Boleta
258,P0037,2,3,22,December,2024,263.28,47.39,310.67,PEN,Procedió,Nota de crédito
259,P0083,1,5,28,December,2024,493.25,0.0,493.25,PEN,Anulado,Boleta
260,P0090,3,8,8,December,2024,1342.4,241.63,1584.03,PEN,Procedió,Factura
261,P0043,6,8,1,December,2024,65.92,11.87,77.79,PEN,Procedió,Nota de crédito
262,P0090,4,9,29,December,2025,1510.2,271.84,1782.04,PEN,Procedió,Boleta
263,P0024,13,3,1,December,2024,472.59,85.07,557.66,PEN,Procedió,Nota de crédito
264,P0107,14,10,7,December,2024,1724.0,310.32,2034.32,PEN,Procedió,Boleta
265,P0025,13,1,5,December,2024,199.01,35.82,234.83,PEN,Procedió,Nota de crédito
266,P0088,9,8,21,December,2025,208.24,37.48,245.72,PEN,Procedió,Nota de crédito
267,P0011,12,5,6,December,2025,204.5,36.81,241.31,PEN,Procedió,Factura
268,P0046,2,7,10,December,2024,189.0,34.02,223.02,PEN,Procedió,Factura
269,P0122,4,6,25,December,2024,37.2,6.7,43.9,PEN,Procedió,Nota de crédito
270,P0036,7,3,31,August,2024,148.62,26.75,175.37,PEN,Procedió,Factura
271,P0116,12,8,19,August,2024,391.92,0.0,391.92,PEN,Anulado,Boleta
272,P0097,12,3,10,August,2025,319.62,57.53,377.15,PEN,Procedió,Nota de crédito
273,P0105,4,4,3,September,2024,549.48,98.91,648.39,PEN,Procedió,Factura
274,P0087,14,9,19,September,2025,1342.8,241.7,1584.5,PEN,Procedió,Boleta
275,P0078,4,3,11,October,2024,424.59,76.43,501.02,PEN,Procedió,Boleta
276,P0113,9,6,23,October,2024,799.8,0.0,799.8,PEN,Anulado,Factura
277,P0072,9,3,10,October,2025,112.02,0.0,112.02,PEN,Anulado,Factura
278,P0143,1,4,20,October,2025,390.88,70.36,461.24,PEN,Procedió,Factura
279,P0076,1,7,14,December,2025,70.0,12.6,82.6,PEN,Procedió,Factura
280,P0064,3,2,3,December,2025,47.74,8.59,56.33,PEN,Procedió,Boleta
281,P0051,11,5,29,January,2025,259.8,46.76,306.56,PEN,Procedió,Factura
282,P0115,10,7,21,January,2024,1091.86,196.53,1288.39,PEN,Procedió,Boleta
283,P0011,9,6,17,January,2025,245.4,44.17,289.57,PEN,Procedió,Boleta
284,P0134,3,6,23,January,2024,209.46,37.7,247.16,PEN,Procedió,Nota de crédito
285,P0132,15,10,11,January,2025,1083.2,0.0,1083.2,PEN,Anulado,Factura
286,P0107,7,9,17,January,2024,1551.6,279.29,1830.89,PEN,Procedió,Factura
287,P0130,13,6,15,January,2024,233.1,41.96,275.06,PEN,Procedió,Boleta
288,P0106,12,9,18,January,2024,728.91,131.2,860.11,PEN,Procedió,Nota de crédito
289,P0017,2,9,6,January,2024,835.83,150.45,986.28,PEN,Procedió,Boleta
290,P0011,11,8,29,January,2025,327.2,58.9,386.1,PEN,Procedió,Boleta
291,P0051,8,1,20,January,2024,51.96,0.0,51.96,PEN,Anulado,Boleta
292,P0078,10,7,28,January,2024,990.71,178.33,1169.04,PEN,Procedió,Factura
293,P0014,2,3,1,January,2025,99.3,17.87,117.17,PEN,Procedió,Factura
294,P0146,10,2,30,January,2025,194.08,34.93,229.01,PEN,Procedió,Nota de crédito
295,P0127,13,6,14,January,2024,269.76,48.56,318.32,PEN,Procedió,Boleta
296,P0109,15,2,27,January,2024,303.14,54.57,357.71,PEN,Procedió,Boleta
297,P0053,6,9,19,January,2025,1386.63,249.59,1636.22,PEN,Procedió,Nota de crédito
298,P0103,15,4,2,January,2025,117.04,21.07,138.11,PEN,Procedió,Factura
299,P0143,15,4,29,January,2025,390.88,70.36,461.24,PEN,Procedió,Factura
300,P0083,11,2,4,January,2024,197.3,35.51,232.81,PEN,Procedió,Nota de crédito
301,P0111,15,8,21,January,2025,225.12,40.52,265.64,PEN,Procedió,Factura
302,P0050,14,3,17,January,2025,152.16,27.39,179.55,PEN,Procedió,Nota de crédito
303,P0108,4,3,28,January,2024,115.92,20.87,136.79,PEN,Procedió,Nota de crédito
304,P0056,15,9,3,January,2025,796.68,143.4,940.08,PEN,Procedió,Nota de crédito
305,P0145,11,8,14,January,2024,163.12,29.36,192.48,PEN,Procedió,Boleta
306,P0102,11,8,4,January,2024,1596.0,287.28,1883.28,PEN,Procedió,Factura
307,P0148,1,10,19,January,2025,846.9,152.44,999.34,PEN,Procedió,Boleta
308,P0128,1,1,14,January,2024,20.06,3.61,23.67,PEN,Procedió,Factura
309,P0040,13,3,26,January,2025,593.1,106.76,699.86,PEN,Procedió,Boleta
310,P0055,5,6,15,January,2025,188.82,33.99,222.81,PEN,Procedió,Factura
311,P0097,15,1,24,January,2024,106.54,19.18,125.72,PEN,Procedió,Nota de crédito
312,P0074,3,6,21,January,2024,1147.74,206.59,1354.33,PEN,Procedió,Boleta
313,P0043,4,8,14,January,2025,65.92,11.87,77.79,PEN,Procedió,Boleta
